8.2,0.601,0.365,-0.467,0.0387,0.265,-0.4
8.3,0.606,0.386,-0.468,0.0622,0.279,-0.419
8.4,0.611,0.406,-0.47,0.0862,0.293,-0.437
8.5,0.615,0.427,-0.472,0.111,0.308,-0.457
8.6,0.618,0.448,-0.473,0.135,0.323,-0.476
8.7,0.621,0.469,-0.475,0.16,0.338,-0.496
8.8,0.624,0.491,-0.477,0.186,0.354,-0.517
8.9,0.626,0.512,-0.478,0.211,0.369,-0.537
9,0.627,0.534,-0.48,0.237,0.386,-0.558
9.1,0.628,0.556,-0.482,0.264,0.402,-0.579
9.2,0.628,0.579,-0.483,0.29,0.418,-0.601
9.3,0.628,0.601,-0.485,0.317,0.435,-0.623
9.4,0.627,0.624,-0.487,0.344,0.452,-0.644
9.5,0.626,0.647,-0.488,0.371,0.469,-0.666
9.6,0.624,0.67,-0.489,0.398,0.487,-0.689
9.7,0.621,0.693,-0.491,0.425,0.504,-0.711
9.8,0.618,0.717,-0.492,0.453,0.522,-0.733
9.9,0.615,0.74,-0.493,0.481,0.54,-0.756
10,0.61,0.764,-0.494,0.508,0.558,-0.778
10.1,0.606,0.788,-0.495,0.536,0.576,-0.8
10.2,0.6,0.813,-0.496,0.564,0.595,-0.822
10.3,0.595,0.837,-0.496,0.592,0.613,-0.845
10.4,0.589,0.861,-0.497,0.62,0.631,-0.867
10.5,0.582,0.886,-0.497,0.648,0.65,-0.889
10.6,0.575,0.911,-0.497,0.675,0.668,-0.91
10.7,0.567,0.936,-0.496,0.703,0.686,-0.932
10.8,0.559,0.961,-0.496,0.731,0.705,-0.953
10.9,0.55,0.987,-0.495,0.758,0.723,-0.974
11,0.541,1.01,-0.494,0.786,0.741,-0.995
11.1,0.531,1.04,-0.493,0.813,0.759,-1.02
11.2,0.522,1.06,-0.491,0.84,0.777,-1.04
11.3,0.511,1.09,-0.489,0.867,0.794,-1.06
11.4,0.501,1.12,-0.487,0.894,0.811,-1.07
11.5,0.49,1.14,-0.484,0.921,0.829,-1.09
11.6,0.478,1.17,-0.481,0.947,0.845,-1.11
11.7,0.466,1.19,-0.477,0.973,0.862,-1.13
11.8,0.454,1.22,-0.474,0.999,0.878,-1.15
11.9,0.442,1.25,-0.469,1.02,0.894,-1.17
12,0.429,1.27,-0.465,1.05,0.909,-1.18
12.1,0.417,1.3,-0.46,1.07,0.924,-1.2
